# T(K), Cp(J/mol/K), Cp(J/mol/K), Cp(J/mol/K), rho(mol/m3), rho(mol/m3), rho(mol/m3)
8.454545454545454675e+01, 3.213563637997320654e+01, 3.622904818935016635e+01, 3.910578646688445303e+01, 2.913599732780975955e+03, 8.888529116060599335e+03, 1.972728755754238955e+04
8.545454545454545325e+01, 3.210818213823515777e+01, 3.608242915143846830e+01, 3.896152710655011475e+01, 2.878484313580800972e+03, 8.765226418832855416e+03, 1.949008762679092615e+04
8.636363636363635976e+01, 3.207966506567525045e+01, 3.594025293252452968e+01, 3.881738610868233508e+01, 2.844291408706980747e+03, 8.645859453472328823e+03, 1.925862421122436353e+04
8.727272727272726627e+01, 3.205011892450882272e+01, 3.580220176412986177e+01, 3.867365099026343245e+01, 2.810982152685076926e+03, 8.530228496228091899e+03, 1.903272663145179831e+04
8.818181818181817277e+01, 3.201958488475212761e+01, 3.566799353643111914e+01, 3.853056757804992571e+01, 2.778519964633283053e+03, 8.418147497156633108e+03, 1.881222654073918238e+04
8.909090909090909349e+01, 3.198811017431152592e+01, 3.553737777112463903e+01, 3.838834528732990492e+01, 2.746870375638226506e+03, 8.309442920645285994e+03, 1.859695853120235552e+04
9.000000000000000000e+01, 3.195574688498130911e+01, 3.541013203528441267e+01, 3.824716186025633391e+01, 2.716000872029310813e+03, 8.203952701735117444e+03, 1.838676061453626608e+04
9.090909090909090651e+01, 3.192255091810672241e+01, 3.528605874723235303e+01, 3.810716758386142544e+01, 2.685880752830795245e+03, 8.101525305069717433e+03, 1.818147459438527221e+04
9.181818181818181301e+01, 3.188858105548652944e+01, 3.516498233112735505e+01, 3.796848901793845243e+01, 2.656480999884024641e+03, 8.002018874961126130e+03, 1.798094634588724148e+04
9.272727272727271952e+01, 3.185389814266316932e+01, 3.504674668198946108e+01, 3.783123226907946446e+01, 2.627774159315774341e+03, 7.905300466500547373e+03, 1.778502601632769074e+04
9.363636363636364024e+01, 3.181856437311489216e+01, 3.493121290727931694e+01, 3.769548585025206933e+01, 2.599734233187156860e+03, 7.811245348881889186e+03, 1.759356815927218486e+04
9.454545454545454675e+01, 3.178264266306127794e+01, 3.481825731502421206e+01, 3.756132316618969469e+01, 2.572336580294705982e+03, 7.719736373180004193e+03, 1.740643181305496910e+04
9.545454545454545325e+01, 3.174619610764152000e+01, 3.470776962188470804e+01, 3.742880466418781538e+01, 2.545557825214278637e+03, 7.630663397756383347e+03, 1.722348053311931289e+04
9.636363636363635976e+01, 3.170928751015182456e+01, 3.459965135754806198e+01, 3.729797968815961440e+01, 2.519375774781981818e+03, 7.543922765273592631e+03, 1.704458238643267032e+04
9.727272727272726627e+01, 3.167197897684746266e+01, 3.449381444446618161e+01, 3.716888807138916917e+01, 2.493769341296606399e+03, 7.459416826003061942e+03, 1.686960991505865604e+04
9.818181818181817277e+01, 3.163433157054415901e+01, 3.439017993427510334e+01, 3.704156150061877639e+01, 2.468718471807022524e+03, 7.377053502723986639e+03, 1.669844007494526159e+04
9.909090909090909349e+01, 3.159640501690507719e+01, 3.428867688427718008e+01, 3.691602468113840985e+01, 2.444204082917058713e+03, 7.296745893046761012e+03, 1.653095415508393853e+04
1.000000000000000000e+02, 3.155825745788101955e+01, 3.418924135917077223e+01, 3.679229632955667029e+01, 2.420208000601119693e+03, 7.218411905461823153e+03, 1.636703768140424472e+04
1.009090909090909065e+02, 3.151994524729644453e+01, 3.409181554480862530e+01, 3.667039001802604048e+01, 2.396712904577199879e+03, 7.141973925826161576e+03, 1.620658030907521970e+04
1.018181818181818130e+02, 3.148152278404351634e+01, 3.399634696217594154e+01, 3.655031489094844943e+01, 2.373702276830970277e+03, 7.067358511358788746e+03, 1.604947570628879112e+04
1.027272727272727195e+02, 3.144304237877374320e+01, 3.390278777103283403e+01, 3.643207627262992077e+01, 2.351160353926197786e+03, 6.994496109533901290e+03, 1.589562143208291127e+04
1.036363636363636402e+02, 3.140455415036031894e+01, 3.381109415377415672e+01, 3.631567618201175662e+01, 2.329072082773556303e+03, 6.923320799538631945e+03, 1.574491881032144738e+04
1.045454545454545467e+02, 3.136610594875452662e+01, 3.372122577104867958e+01, 3.620111376849186513e+01, 2.307423079562448038e+03, 6.853770054208684996e+03, 1.559727280156942652e+04
1.054545454545454533e+02, 3.132774330117539918e+01, 3.363314528155714811e+01, 3.608838568095008270e+01, 2.286199591589451757e+03, 6.785784520572078691e+03, 1.545259187428262885e+04
1.063636363636363598e+02, 3.128950937886118311e+01, 3.354681791923241008e+01, 3.597748638040779667e+01, 2.265388461742749769e+03, 6.719307817323501695e+03, 1.531078787645662305e+04
1.072727272727272663e+02, 3.125144498187193776e+01, 3.346221112170333356e+01, 3.586840840526352991e+01, 2.244977095424841536e+03, 6.654286347722451865e+03, 1.517177590865329876e+04
1.081818181818181728e+02, 3.121358853967345226e+01, 3.337929420456879370e+01, 3.576114259674329077e+01, 2.224953429716350911e+03, 6.590669126559015240e+03, 1.503547419912886835e+04
1.090909090909090935e+02, 3.117597612544852126e+01, 3.329803807656654158e+01, 3.565567829106403508e+01, 2.205305904602026203e+03, 6.528407619966146740e+03, 1.490180398162632264e+04
1.100000000000000000e+02, 3.113864148228234896e+01, 3.321841499122212582e+01, 3.555200348382264508e+01, 2.186023436096475962e+03, 6.467455596976356901e+03, 1.477068937626107436e+04
